Wall time,Step,Value
1684427330.1407204,6000,0.091064453125
1684427341.7605262,6010,0.09442138671875
1684427353.30814,6020,0.20849609375
1684427365.017348,6030,0.2900390625
1684427376.6783464,6040,0.09918212890625
1684427388.4874837,6050,0.2900390625
1684427399.9864614,6060,0.201171875
1684427411.4407868,6070,0.01006317138671875
1684427423.1501567,6080,0.2178955078125
1684427434.7430973,6090,0.09832763671875
1684427446.3381736,6100,0.036651611328125
1684427457.8028347,6110,0.304931640625
1684427469.343202,6120,0.2587890625
1684427480.8364694,6130,0.08465576171875
1684427492.3934538,6140,0.1685791015625
1684427503.98946,6150,0.359375
1684427515.609375,6160,0.2119140625
1684427527.39478,6170,0.2247314453125
1684427538.8714156,6180,0.0855712890625
1684427550.5512583,6190,0.270263671875
1684427562.264927,6200,0.25341796875
1684427574.0044596,6210,0.14794921875
1684427585.5444434,6220,0.09844970703125
1684427597.0695295,6230,0.17236328125
1684427608.5431087,6240,0.302734375
1684427620.1112607,6250,0.35986328125
1684427631.7563264,6260,0.17626953125
1684427643.359442,6270,0.27294921875
1684427655.0144093,6280,0.11260986328125
1684427666.7622867,6290,0.33642578125
1684427678.1902037,6300,0.0162200927734375
1684427689.7096775,6310,0.1239013671875
1684427701.3591828,6320,0.06402587890625
1684427712.9977102,6330,0.21923828125
1684427724.6855927,6340,0.259521484375
1684427736.3041925,6350,0.0780029296875
1684427747.8768227,6360,0.18994140625
1684427759.3948946,6370,0.07568359375
1684427771.002529,6380,0.1927490234375
1684427782.6248357,6390,0.08831787109375
1684427794.1952457,6400,0.08319091796875
1684427805.8864489,6410,0.257080078125
1684427817.4762323,6420,0.30615234375
1684427829.0484798,6430,0.047760009765625
1684427840.7250838,6440,0.0216217041015625
1684427852.2755203,6450,0.0869140625
1684427863.9302928,6460,0.10186767578125
1684427875.5772665,6470,0.30029296875
1684427887.1948204,6480,0.263916015625
1684427898.7142036,6490,0.408447265625
1684427910.5154893,6500,0.045196533203125
1684427922.1495383,6510,0.237060546875
1684427933.6796231,6520,0.21484375
1684427945.3486264,6530,0.1761474609375
1684427957.0455744,6540,0.14208984375
1684427968.4996064,6550,0.045013427734375
1684427980.0889804,6560,0.04278564453125
1684427991.709862,6570,0.26953125
1684428003.3733022,6580,0.0977783203125
1684428014.9228888,6590,0.030914306640625
1684428026.4083188,6600,0.1378173828125
1684428037.8709304,6610,0.11700439453125
1684428049.5995536,6620,0.30859375
1684428061.0887487,6630,0.00508880615234375
1684428072.5841436,6640,0.0281219482421875
1684428084.2824514,6650,0.01873779296875
1684428095.903267,6660,0.0804443359375
1684428107.3787317,6670,0.03948974609375
1684428118.9429073,6680,0.2247314453125
1684428130.5934455,6690,0.06591796875
1684428142.4013638,6700,0.2283935546875
1684428153.8832228,6710,0.04974365234375
1684428165.5115263,6720,0.0262908935546875
1684428176.962879,6730,0.162841796875
1684428188.4401827,6740,0.213623046875
1684428200.2141004,6750,0.216064453125
1684428211.7068954,6760,0.2724609375
1684428223.395839,6770,0.02294921875
1684428235.190941,6780,0.281005859375
1684428246.6578481,6790,0.1494140625
1684428258.3418128,6800,0.147216796875
1684428269.9174712,6810,0.1263427734375
1684428281.467832,6820,0.09698486328125
1684428293.0170069,6830,0.32568359375
1684428304.7226965,6840,0.004566192626953125
1684428316.2434778,6850,0.03839111328125
1684428328.0033214,6860,0.0599365234375
1684428339.5582435,6870,0.1536865234375
1684428351.1611948,6880,0.25341796875
1684428362.6555638,6890,0.1312255859375
1684428374.1920364,6900,0.11138916015625
1684428385.6756294,6910,0.266357421875
1684428397.1834688,6920,0.0225067138671875
1684428409.0156302,6930,0.273193359375
1684428420.6581407,6940,0.0531005859375
1684428432.2840314,6950,0.06341552734375
1684428443.7654564,6960,0.198974609375
1684428455.3207455,6970,0.0902099609375
1684428466.8760939,6980,0.1536865234375
1684428478.413345,6990,0.10540771484375
1684428490.1111417,7000,0.0185699462890625
1684428501.6385002,7010,0.1329345703125
1684428513.2240002,7020,0.03515625
1684428524.8995745,7030,0.054046630859375
1684428536.505194,7040,0.0975341796875
1684428548.048836,7050,0.55859375
1684428559.5547097,7060,0.1517333984375
1684428571.282629,7070,0.1326904296875
1684428582.7596028,7080,0.054718017578125
1684428594.1774914,7090,0.079345703125
1684428605.6767242,7100,0.08160400390625
1684428617.2929204,7110,0.02093505859375
1684428628.929224,7120,0.04071044921875
1684428640.4089243,7130,0.0640869140625
1684428651.89778,7140,0.173828125
1684428663.5113478,7150,0.2470703125
1684428675.1241326,7160,0.11688232421875
1684428686.681709,7170,0.125244140625
1684428698.4409301,7180,0.294677734375
1684428709.9097452,7190,0.09246826171875
1684428721.5444007,7200,0.302001953125
